City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,baruun-urt,46.6806,113.2792,22.89,40,0,15.82,MN,1740543637
303,bosaso,11.2842,49.1816,77.72,56,4,4.34,SO,1740543640
304,road town,18.4167,-64.6167,77.74,81,2,19.04,VG,1740543642
305,smithers,54.7804,-127.1743,34.12,100,75,2.3,CA,1740543644
306,wenchang,30.904,118.4887,58.33,46,100,4.29,CN,1740543648
307,georgetown,5.4112,100.3354,89.53,55,20,14.0,MY,1740543650
308,bang saphan,11.2126,99.5117,80.74,69,69,12.26,TH,1740543652
309,neka,36.6508,53.299,27.91,74,0,6.91,IR,1740543654
310,zag,46.9441,99.165,1.96,66,1,1.32,MN,1740543657
311,mount pearl,47.5166,-52.7813,38.32,96,100,14.97,CA,1740543453
312,hadibu,12.65,54.0333,77.34,74,32,8.68,YE,1740543661
313,ulladulla,-35.35,150.4667,78.42,66,0,20.45,AU,1740543663
314,dongcun,36.7767,121.1597,46.15,27,0,6.87,CN,1740543665
315,port said,31.2565,32.2841,55.08,57,66,13.44,EG,1740543667
316,la gi,10.6667,107.7833,85.23,59,84,22.19,VN,1740543669
317,gay,51.4666,58.4552,16.92,95,100,1.61,RU,1740543671
318,yima,34.7381,111.8839,51.93,24,1,8.23,CN,1740543675
319,santa ana,33.7456,-117.8678,63.05,75,20,0.0,US,1740543678
320,ak-suu,42.4995,78.527,36.63,82,92,2.95,KG,1740543680
321,sao paulo de olivenca,-3.3783,-68.8725,72.91,94,100,2.24,BR,1740543682
322,kaoma,-14.7833,24.8,64.27,94,99,5.84,ZM,1740543684
323,as sulayyil,20.4607,45.5779,49.69,48,33,12.41,SA,1740543686
324,saint-pierre,-21.3393,55.4781,85.68,66,0,5.75,RE,1740543688
325,murzuq,25.9155,13.9184,47.28,41,0,8.01,LY,1740543690
326,hamakita,34.8,137.7833,54.84,41,44,19.64,JP,1740543692
327,box elder,41.5005,-112.8764,40.35,49,2,8.19,US,1740543694
328,lethem,3.3803,-59.7968,76.78,67,20,6.6,GY,1740543697
329,uturoa,-16.7333,-151.4333,83.28,71,9,14.83,PF,1740543699
330,eyl,7.9803,49.8164,75.0,84,20,11.65,SO,1740543701
331,kalmunai,7.4167,81.8167,81.28,82,75,12.86,LK,1740543703
332,yemetsk,63.4721,41.7941,15.46,95,10,4.05,RU,1740543705
333,ubiaja,6.655,6.3869,75.4,87,99,4.41,NG,1740543707
334,urangan,-25.3,152.9,79.43,65,16,23.26,AU,1740543709
335,hasaki,35.7333,140.8333,56.73,22,2,10.09,JP,1740543711
336,promyshlennaya,54.9159,85.6385,13.12,80,96,2.73,RU,1740543713
337,elko,41.0002,-115.5012,35.15,62,0,1.03,US,1740543715
338,buka,40.8108,69.1986,31.6,100,100,9.51,UZ,1740543718
339,yerofey pavlovich,53.9667,121.9667,14.0,69,41,4.52,RU,1740543720
